Source.Name,Selection,View,Channel,Begin Time (s),End Time (s),Peak Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Avg Entropy (bits),Center Freq (Hz),BW 90% (Hz),first_pcf_value,last_pcf_value,Time_duration,Peak Freq Contour (Hz),High Freq (Hz),Low Freq (Hz),Species
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,10,Spectrogram 1,1,283.5190172,283.5804578,3937.5,4125,3468.75,2.356,4031.25,656.25,3468.75,4125,0.0614406,3468.750;4031.250;4031.250;4125.000;4125.000;4125.000;4031.250;3937.500;3656.250;4125.000;4125.000,4521.739,2573.913,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,11,Spectrogram 1,1,283.6753136,283.8132856,3656.25,3750,2718.75,2.522,3375,1125,2718.75,2906.25,0.137972,2718.750;2718.750;3656.250;3656.250;3656.250;3656.250;3750.000;3656.250;3656.250;3656.250;3468.750;3468.750;3375.000;3281.250;3187.500;3187.500;3093.750;3093.750;3093.750;3375.000;3000.000;3000.000;2906.250;2906.250,4382.609,2156.522,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,12,Spectrogram 1,1,285.0042502,285.0441327,3843.75,4125,3843.75,2.197,4031.25,656.25,4125,3843.75,0.0398825,4125.000;4125.000;4031.250;4031.250;3843.750;3843.750,4660.87,2643.478,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,13,Spectrogram 1,1,285.1530012,285.2769605,3468.75,3843.75,2812.5,2.201,3562.5,937.5,3750,3000,0.1239593,3750.000;3843.750;3843.750;3843.750;3843.750;3750.000;3656.250;3562.500;3562.500;3468.750;3375.000;3281.250;3281.250;3187.500;3093.750;3093.750;3000.000;3000.000;2906.250;2906.250;2812.500;3000.000,4104.348,2295.652,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,1,Spectrogram 1,1,1.347560508,1.393292199,4687.5,4781.25,3937.5,3.258,4593.75,1500,4687.5,3937.5,0.045731691,4687.500;4687.500;4781.250;4687.500;4687.500;4593.750;4031.250;3937.500,5356.522,3478.261,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,2,Spectrogram 1,1,2.217436437,2.261266161,4593.75,4593.75,4218.75,3.262,4593.75,1968.75,4500,4218.75,0.043829724,4500.000;4593.750;4593.750;4593.750;4593.750;4500.000;4312.500;4218.750,6052.174,3060.87,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,3,Spectrogram 1,1,162.4987131,162.6582433,4781.25,6656.25,3937.5,4.494,5062.5,2812.5,6562.5,4500,0.1595302,6562.500;6562.500;4687.500;4781.250;4968.750;5062.500;5062.500;4968.750;5062.500;6656.250;5062.500;4781.250;4875.000;4687.500;5156.250;4500.000;6093.750;5343.750;5343.750;6000.000;4218.750;4500.000;4687.500;4312.500;4687.500;4406.250;3937.500;5156.250;4500.000,7339.13,3826.087,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,4,Spectrogram 1,1,165.3008547,165.3407372,2812.5,3093.75,2531.25,3.238,2718.75,1218.75,2531.25,2812.5,0.0398825,2531.250;2531.250;3093.750;2812.500;2531.250;3093.750;2812.500,3895.652,1808.696,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,5,Spectrogram 1,1,165.8796904,166.0823367,5437.5,6093.75,3937.5,3.989,5062.5,1968.75,4031.25,5812.5,0.2026463,4031.250;4218.750;5156.250;4312.500;5531.250;3937.500;4687.500;5437.500;5343.750;4687.500;4593.750;4687.500;4406.250;5718.750;5156.250;6000.000;5437.500;4687.500;5250.000;4125.000;5437.500;5437.500;5625.000;4593.750;5343.750;5718.750;5343.750;5718.750;5437.500;5062.500;5718.750;5718.750;5812.500;6093.750;5906.250;4312.500;5812.500,6121.739,3895.652,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,7,Spectrogram 1,1,1.513718987,1.608231149,4031.25,4031.25,2906.25,2.571,3843.75,1218.75,4031.25,2906.25,0.094512162,4031.250;4031.250;4031.250;4031.250;4031.250;4031.250;3843.750;3843.750;3750.000;3656.250;3656.250;3562.500;3375.000;3187.500;3093.750;3093.750;2906.250,4279.533,2754.642,AD
AD_F045_ZOOM0009_Tr2.Table.1.selections.txt,8,Spectrogram 1,1,2.383217338,2.491449008,3656.25,3843.75,3000,3.047,3468.75,1125,3656.25,3000,0.10823167,3656.250;3656.250;3750.000;3750.000;3843.750;3468.750;3562.500;3843.750;3843.750;3750.000;3656.250;3562.500;3656.250;3562.500;3468.750;3562.500;3093.750;3093.750;3000.000;3000.000;3000.000,4000,2608.696,AD
AD_F054_ZOOM0006_Tr2.Table.1.selections.txt,2,Spectrogram 1,1,282.0967639,282.1269453,3281.25,4125,3000,3.457,3468.75,1218.75,4125,3000,0.0301814,4125.000;3562.500;3281.250;3000.000,4697.649,1721.651,AD
